15:20:40.616 > X: -0.500559, Y: 0.277822, Z: 10.209969
15:20:40.636 > X: -0.534089, Y: 0.249082, Z: 10.322535
15:20:40.655 > X: -0.421523, Y: 0.265847, Z: 10.253078
15:20:40.675 > X: -0.409548, Y: 0.258662, Z: 10.245893
15:20:40.695 > X: -0.481399, Y: 0.234712, Z: 10.298584
15:20:40.715 > X: -0.433499, Y: 0.249082, Z: 10.329720
15:20:40.735 > X: -0.481399, Y: 0.287402, Z: 10.253078
15:20:40.756 > X: -0.459844, Y: 0.330513, Z: 10.269844
15:20:40.776 > X: -0.404758, Y: 0.217947, Z: 10.281818
15:20:40.796 > X: -0.455054, Y: 0.246687, Z: 10.329720
15:20:40.816 > X: -0.387993, Y: 0.241897, Z: 10.152488
15:20:40.835 > X: -0.474214, Y: 0.313748, Z: 10.305769
15:20:40.855 > X: -0.469424, Y: 0.208367, Z: 10.380014
15:20:40.875 > X: -0.502954, Y: 0.268242, Z: 10.135723
15:20:40.895 > X: -0.443079, Y: 0.196392, Z: 10.214758
15:20:40.915 > X: -0.488584, Y: 0.296982, Z: 10.250684
15:20:40.936 > X: -0.459844, Y: 0.316143, Z: 10.274633
15:20:40.956 > X: -0.469424, Y: 0.306563, Z: 10.236314
15:20:40.976 > X: -0.498164, Y: 0.277822, Z: 10.190808
15:20:40.995 > X: -0.498164, Y: 0.186812, Z: 10.305769
15:20:41.015 > X: -0.404758, Y: 0.241897, Z: 10.250684
15:20:41.035 > X: -0.546064, Y: 0.239502, Z: 10.260263
15:20:41.055 > X: -0.428708, Y: 0.292192, Z: 10.221943
15:20:41.075 > X: -0.445474, Y: 0.340093, Z: 10.195599
15:20:41.095 > X: -0.443079, Y: 0.270637, Z: 10.296189
15:20:41.115 > X: -0.462239, Y: 0.229922, Z: 10.248288
15:20:41.136 > X: -0.502954, Y: 0.277822, Z: 10.190808
15:20:41.156 > X: -0.376018, Y: 0.263452, Z: 10.229129
15:20:41.175 > X: -0.423918, Y: 0.304167, Z: 10.190808
15:20:41.195 > X: -0.447869, Y: 0.268242, Z: 10.224339
15:20:41.215 > X: -0.435894, Y: 0.263452, Z: 10.310559
